Date,Shift,"Worker ID"
2021-02-26,"Day Heavy Shift",542
2021-02-26,"Day Heavy Shift",396
2021-02-26,"Day Shift",549
2021-02-26,"Day Heavy Shift",556
2021-02-26,"Day Heavy Shift",551
2021-02-26,"Day Shift",503
2021-02-26,"Day Heavy Shift",776
2021-02-26,"Day Heavy Shift",753
2021-02-26,"Day Shift",546
2021-02-26,"Day Shift",555
2021-02-26,"Day Heavy Shift",788
2021-02-26,"Day Heavy Shift",787
2021-02-26,"Day Heavy Shift",775
2021-02-26,"Day Heavy Shift",769
2021-02-26,"Day Heavy Shift",801
2021-02-26,"Day Heavy Shift",509
2021-02-26,"Day Heavy Shift",499
2021-02-26,"Day Heavy Shift",796
2021-02-26,"Day Shift",541
2021-02-26,"Day Shift",554
2021-02-26,"Day Shift",550
2021-02-26,"Day Shift",394
2021-02-26,"Day Heavy Shift",479
2021-02-26,"Day Shift",336
2021-02-26,"Day Shift",339
2021-02-26,"Day Shift",335
2021-02-26,"Day Shift",333
2021-02-26,"Day Shift",342
2021-02-26,"Day Shift",334
2021-02-26,"Day Shift",527
2021-02-26,"Day Shift",498
2021-02-26,"Day Shift",349
2021-02-26,"Day Shift",345
2021-02-26,"Day Shift",347
2021-02-26,"Day Shift",565
2021-02-26,"Day Shift",337
2021-02-26,"Day Shift",350
2021-02-26,"Day Shift",343
2021-02-26,"Day Shift",358
2021-02-26,"Day Shift",346
2021-02-26,"Day Shift",477
2021-02-26,"Day Shift",585
2021-02-26,"Day Shift",566
2021-02-26,"Day Shift",344
2021-02-26,"Day Shift",461
2021-02-26,"Day Shift",348
2021-02-26,"Day Shift",338
2021-02-26,"Day Shift",341
2021-02-26,"Day Shift",518
2021-02-26,"Day Shift",519
2021-02-26,"Day Shift",460
2021-02-26,"Day Shift",502
2021-02-26,"Day Shift",512
2021-02-26,"Day Shift",427
2021-02-26,"Day Shift",395
2021-02-26,"Day Shift",353
2021-02-26,"Day Shift",391
2021-02-26,"Day Shift",356
2021-02-26,"Day Shift",725
2021-02-26,"Day Shift",169
2021-02-26,"Day Shift",352
2021-02-26,"Day Shift",594
2021-02-26,"Day Shift",537
2021-02-26,"Day Shift",340
2021-02-26,"Day Shift",399
2021-02-26,"Day Shift",330
2021-02-26,"Day Shift",329
2021-02-26,"Day Heavy Shift",469
2021-02-26,"Day Heavy Shift",474
2021-02-26,"Day Heavy Shift",473
2021-02-26,"Day Heavy Shift",515
2021-02-26,"Day Heavy Shift",520
2021-02-26,"Day Heavy Shift",468
2021-02-26,"Day Heavy Shift",488
2021-02-26,"Day Heavy Shift",810
2021-02-26,"Day Heavy Shift",843
2021-02-26,"Day Heavy Shift",839
2021-02-26,"Day Heavy Shift",837
2021-02-26,"Night Heavy Shift",761
2021-02-26,"Night Heavy Shift",765
2021-02-26,"Night Heavy Shift",759
2021-02-26,"Night Heavy Shift",575
2021-02-26,"Night Heavy Shift",723
2021-02-26,"Night Heavy Shift",410
2021-02-26,"Night Heavy Shift",560
2021-02-26,"Night Heavy Shift",299
2021-02-26,"Night Heavy Shift",683
2021-02-26,"Night Heavy Shift",687
2021-02-26,"Night Heavy Shift",684
2021-02-26,"Night Heavy Shift",598
2021-02-26,"Night Heavy Shift",598
2021-02-26,"Night Heavy Shift",170
2021-02-26,"Night Heavy Shift",602
2021-02-26,"Night Heavy Shift",581
2021-02-26,"Night Heavy Shift",433
2021-02-26,"Night Heavy Shift",491
2021-02-26,"Night Heavy Shift",524
2021-02-26,"Night Heavy Shift",419
2021-02-26,"Night Heavy Shift",563
2021-02-26,"Night Heavy Shift",424
2021-02-26,"Night Heavy Shift",415
2021-02-26,"Night Heavy Shift",418
2021-02-26,"Night Heavy Shift",416
2021-02-26,"Night Heavy Shift",417
2021-02-26,"Night Heavy Shift",423
2021-02-26,"Night Heavy Shift",593
2021-02-26,"Night Heavy Shift",577
2021-02-26,"Night Heavy Shift",432
2021-02-26,"Night Heavy Shift",421
2021-02-26,"Night Heavy Shift",564
2021-02-26,"Night Heavy Shift",579
2021-02-26,"Night Heavy Shift",422
2021-02-26,"Night Heavy Shift",420
2021-02-26,"Night Heavy Shift",586
2021-02-26,"Night Heavy Shift",385
2021-02-26,"Night Heavy Shift",526
2021-02-26,"Night Heavy Shift",425
2021-02-26,"Night Heavy Shift",426
2021-02-26,"Night Heavy Shift",462
2021-02-26,"Night Heavy Shift",386
2021-02-26,"Night Heavy Shift",428
2021-02-26,"Night Heavy Shift",582
2021-02-26,"Night Heavy Shift",431
2021-02-26,"Night Heavy Shift",587
2021-02-26,"Night Heavy Shift",580
2021-02-26,"Night Heavy Shift",430
2021-02-26,"Night Heavy Shift",463
2021-02-26,"Night Heavy Shift",528
2021-02-26,"Night Heavy Shift",510
2021-02-26,"Night Heavy Shift",523
